Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
16,,,,,,transect petits escaliers 10,4.61928525,50.66908975,179.143,Global,0.103,0.167,0.319,0.196,1.914,m,SINGLE,NONE,2026-03-11 09:47:55.8 UTC+01:00,2026-03-11 09:48:00.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
17,,,,,,transect petits escaliers 11,4.61927985,50.66909813,178.116,Global,0.097,0.153,0.306,0.181,1.914,m,SINGLE,NONE,2026-03-11 09:48:21.6 UTC+01:00,2026-03-11 09:48:26.6 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
18,,,,,,transect petits escaliers 12,4.61926320,50.66911441,177.047,Global,0.102,0.142,0.262,0.175,1.914,m,SINGLE,NONE,2026-03-11 09:49:00.4 UTC+01:00,2026-03-11 09:49:05.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
19,,,,,,transect petits escaliers 13,4.61926666,50.66913260,177.817,Global,0.152,0.320,0.603,0.354,1.914,m,SINGLE,NONE,2026-03-11 09:49:28.6 UTC+01:00,2026-03-11 09:49:33.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
20,,,,,,transect petits escaliers 14,4.61926324,50.66914288,177.770,Global,0.103,0.206,0.307,0.230,1.914,m,SINGLE,NONE,2026-03-11 09:49:50.8 UTC+01:00,2026-03-11 09:49:55.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
21,,,,,,transect escalier lavoisier 1,4.61933494,50.66914139,177.270,Global,0.095,0.143,0.270,0.172,1.914,m,SINGLE,NONE,2026-03-11 09:52:00.0 UTC+01:00,2026-03-11 09:52:05.0 UTC+01:00,26,1.5,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
22,,,,,,transect escalier lavoisier 2,4.61933857,50.66913168,177.329,Global,0.100,0.155,0.270,0.184,1.914,m,SINGLE,NONE,2026-03-11 09:52:18.0 UTC+01:00,2026-03-11 09:52:23.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
23,,,,,,transect escalier lavoisier 3,4.61933379,50.66911907,178.182,Global,0.143,0.159,0.311,0.214,1.914,m,SINGLE,NONE,2026-03-11 09:52:37.4 UTC+01:00,2026-03-11 09:52:42.4 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
24,,,,,,transect escalier lavoisier 4,4.61933917,50.66909888,178.919,Global,0.133,0.168,0.334,0.214,1.914,m,SINGLE,NONE,2026-03-11 09:53:09.4 UTC+01:00,2026-03-11 09:53:14.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
25,,,,,,transect escalier lavoisier 5,4.61933736,50.66909355,180.030,Global,0.131,0.185,0.338,0.227,1.914,m,SINGLE,NONE,2026-03-11 09:53:34.0 UTC+01:00,2026-03-11 09:53:39.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
26,,,,,,transect escalier lavoisier 6,4.61934136,50.66903949,179.199,Global,0.101,0.184,0.329,0.210,1.914,m,SINGLE,NONE,2026-03-11 09:54:01.8 UTC+01:00,2026-03-11 09:54:06.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
27,,,,,,transect escalier lavoisier 7,4.61935179,50.66898057,179.362,Global,0.094,0.189,0.291,0.211,1.914,m,SINGLE,NONE,2026-03-11 09:54:28.4 UTC+01:00,2026-03-11 09:54:33.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
28,,,,,,transect escalier lavoisier 8,4.61935356,50.66896990,179.383,Global,0.100,0.161,0.291,0.190,1.914,m,SINGLE,NONE,2026-03-11 09:55:00.6 UTC+01:00,2026-03-11 09:55:05.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
29,,,,,,transect escalier lavoisier 9,4.61936120,50.66894683,180.221,Global,0.128,0.140,0.275,0.190,1.914,m,SINGLE,NONE,2026-03-11 09:55:33.8 UTC+01:00,2026-03-11 09:55:38.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
30,,,,,,transect escalier lavoisier 10,4.61935769,50.66892924,179.403,Global,0.105,0.147,0.257,0.181,1.914,m,SINGLE,NONE,2026-03-11 09:56:16.0 UTC+01:00,2026-03-11 09:56:21.0 UTC+01:00,26,1.2,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
31,,,,,,transect escalier lavoisier 11,4.61936149,50.66890464,181.045,Global,0.100,0.153,0.295,0.183,1.914,m,SINGLE,NONE,2026-03-11 09:56:58.2 UTC+01:00,2026-03-11 09:57:03.2 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
32,,,,,,transect escalier lavoisier 12,4.61935496,50.66885772,182.698,Global,0.181,0.200,0.402,0.269,1.914,m,SINGLE,NONE,2026-03-11 09:57:29.4 UTC+01:00,2026-03-11 09:57:34.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
33,,,,,,transect escalier mercator 1,4.61942191,50.66887140,180.881,Global,0.187,0.218,0.401,0.287,1.914,m,SINGLE,NONE,2026-03-11 09:58:24.8 UTC+01:00,2026-03-11 09:58:29.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
34,,,,,,transect escalier mercator 2,4.61942098,50.66889970,180.272,Global,0.177,0.241,0.439,0.299,1.914,m,SINGLE,NONE,2026-03-11 09:59:19.0 UTC+01:00,2026-03-11 09:59:24.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
35,,,,,,transect escalier mercator 3,4.61942015,50.66894324,180.816,Global,0.163,0.191,0.370,0.251,1.914,m,SINGLE,NONE,2026-03-11 09:59:50.8 UTC+01:00,2026-03-11 09:59:55.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
36,,,,,,transect escalier mercator 4,4.61941384,50.66894783,180.413,Global,0.170,0.163,0.318,0.235,1.914,m,SINGLE,NONE,2026-03-11 10:00:16.4 UTC+01:00,2026-03-11 10:00:21.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
37,,,,,,transect escalier mercator 5,4.61941108,50.66897539,178.915,Global,0.119,0.162,0.291,0.201,1.914,m,SINGLE,NONE,2026-03-11 10:00:41.2 UTC+01:00,2026-03-11 10:00:46.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
38,,,,,,transect escalier mercator 6,4.61940888,50.66898472,178.508,Global,0.112,0.154,0.289,0.190,1.914,m,SINGLE,NONE,2026-03-11 10:01:04.6 UTC+01:00,2026-03-11 10:01:09.6 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
39,,,,,,transect escalier mercator 7,4.61941578,50.66903480,178.376,Global,0.104,0.160,0.295,0.191,1.914,m,SINGLE,NONE,2026-03-11 10:01:44.0 UTC+01:00,2026-03-11 10:01:49.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
40,,,,,,transect escalier mercator 8,4.61939761,50.66908944,179.801,Global,0.122,0.180,0.304,0.217,1.914,m,SINGLE,NONE,2026-03-11 10:02:16.8 UTC+01:00,2026-03-11 10:02:21.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
41,,,,,,transect escalier mercator 9,4.61939898,50.66911019,180.851,Global,0.161,0.166,0.313,0.232,1.914,m,SINGLE,NONE,2026-03-11 10:02:37.8 UTC+01:00,2026-03-11 10:02:42.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
42,,,,,,transect escalier mercator 10,4.61939806,50.66913303,179.726,Global,0.110,0.155,0.279,0.190,1.914,m,SINGLE,NONE,2026-03-11 10:03:01.6 UTC+01:00,2026-03-11 10:03:06.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
43,,,,,,transect escalier mercator 11,4.61939338,50.66913319,178.402,Global,0.113,0.162,0.251,0.198,1.914,m,SINGLE,NONE,2026-03-11 10:03:35.6 UTC+01:00,2026-03-11 10:03:40.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
44,,,,,,transect escalier mercator 12,4.61938868,50.66914262,177.148,Global,0.100,0.151,0.255,0.181,1.914,m,SINGLE,NONE,2026-03-11 10:04:08.8 UTC+01:00,2026-03-11 10:04:13.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
45,,,,,,transect butte mercator 1,4.61943968,50.66914284,176.405,Global,0.171,0.162,0.352,0.236,1.914,m,SINGLE,NONE,2026-03-11 10:05:07.2 UTC+01:00,2026-03-11 10:05:12.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
46,,,,,,transect butte mercator 2,4.61943217,50.66913637,177.717,Global,0.171,0.169,0.334,0.240,1.914,m,SINGLE,NONE,2026-03-11 10:05:44.0 UTC+01:00,2026-03-11 10:05:49.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
47,,,,,,transect butte mercator 3,4.61943789,50.66912841,177.634,Global,0.159,0.193,0.341,0.250,1.914,m,SINGLE,NONE,2026-03-11 10:06:03.0 UTC+01:00,2026-03-11 10:06:08.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
48,,,,,,transect butte mercator 4,4.61943776,50.66910093,178.737,Global,0.200,0.359,0.447,0.410,1.914,m,SINGLE,NONE,2026-03-11 10:06:31.6 UTC+01:00,2026-03-11 10:06:36.6 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
49,,,,,,"transect butte mercator 5
",4.61943732,50.66908343,178.548,Global,0.180,0.242,0.410,0.302,1.914,m,SINGLE,NONE,2026-03-11 10:06:56.4 UTC+01:00,2026-03-11 10:07:01.4 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
50,,,,,,transect butte mercator 6,4.61944097,50.66907527,178.571,Global,0.130,0.201,0.319,0.240,1.914,m,SINGLE,NONE,2026-03-11 10:07:23.2 UTC+01:00,2026-03-11 10:07:28.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
51,,,,,,transect butte mercator 7,4.61943873,50.66905997,178.710,Global,0.122,0.192,0.318,0.228,1.914,m,SINGLE,NONE,2026-03-11 10:07:40.4 UTC+01:00,2026-03-11 10:07:45.4 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
