Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
21,,,,,,transect escalier lavoisier 1,4.61933600,50.66915699,174.117,Global,0.004,0.009,0.012,0.010,1.914,m,FIX,NONE,2026-03-11 09:52:00.0 UTC+01:00,2026-03-11 09:52:05.0 UTC+01:00,26,1.5,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
22,,,,,,transect escalier lavoisier 2,4.61933602,50.66914814,174.561,Global,0.005,0.008,0.011,0.009,1.914,m,FIX,NONE,2026-03-11 09:52:18.0 UTC+01:00,2026-03-11 09:52:23.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
23,,,,,,transect escalier lavoisier 3,4.61933755,50.66913718,174.999,Global,0.005,0.009,0.013,0.011,1.914,m,FIX,NONE,2026-03-11 09:52:37.4 UTC+01:00,2026-03-11 09:52:42.4 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
24,,,,,,transect escalier lavoisier 4,4.61934075,50.66911195,175.456,Global,0.005,0.009,0.019,0.010,1.914,m,FIX,NONE,2026-03-11 09:53:09.4 UTC+01:00,2026-03-11 09:53:14.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
25,,,,,,transect escalier lavoisier 5,4.61934191,50.66910157,175.873,Global,0.005,0.007,0.013,0.008,1.914,m,FIX,NONE,2026-03-11 09:53:34.0 UTC+01:00,2026-03-11 09:53:39.0 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
26,,,,,,transect escalier lavoisier 6,4.61934679,50.66904963,175.871,Global,0.005,0.007,0.010,0.008,1.914,m,FIX,NONE,2026-03-11 09:54:01.8 UTC+01:00,2026-03-11 09:54:06.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
27,,,,,,transect escalier lavoisier 7,4.61935379,50.66899818,176.341,Global,0.005,0.007,0.011,0.008,1.914,m,FIX,NONE,2026-03-11 09:54:28.4 UTC+01:00,2026-03-11 09:54:33.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
28,,,,,,transect escalier lavoisier 8,4.61935546,50.66898754,176.621,Global,0.006,0.008,0.019,0.011,1.914,m,FIX,NONE,2026-03-11 09:55:00.6 UTC+01:00,2026-03-11 09:55:05.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
29,,,,,,transect escalier lavoisier 9,4.61935843,50.66896115,177.250,Global,0.004,0.006,0.012,0.007,1.914,m,FIX,NONE,2026-03-11 09:55:33.8 UTC+01:00,2026-03-11 09:55:38.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
30,,,,,,transect escalier lavoisier 10,4.61935944,50.66895060,177.715,Global,0.005,0.009,0.011,0.010,1.914,m,FIX,NONE,2026-03-11 09:56:16.0 UTC+01:00,2026-03-11 09:56:21.0 UTC+01:00,26,1.2,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
